rowid,lujvo,lujvo_parsed,lujvo_for_split,lujvo_sequence,lujvo_len
4703,jairxa'e,jai-xa'e,xa'e,1,2
4704,jagdimna,jag-dimna,jag,0,2
4705,jagdimna,jag-dimna,dimna,1,2
4706,jadjme,jad-jme,jad,0,2
4707,jadjme,jad-jme,jme,1,2
4708,jairda'a,jai-da'a,jai,0,2
4709,jairda'a,jai-da'a,da'a,1,2
4710,jajgau,jaj-gau,jaj,0,2
4711,jajgau,jaj-gau,gau,1,2
4712,jajypre,jaj-pre,jaj,0,2
4713,jajypre,jaj-pre,pre,1,2
4714,jakcai,jak-cai,jak,0,2
4715,jakcai,jak-cai,cai,1,2
4716,jakmolsa'i,jak-mol-sa'i,jak,0,3
4717,jakmolsa'i,jak-mol-sa'i,mol,1,3
4718,jakmolsa'i,jak-mol-sa'i,sa'i,2,3
4719,jakyganra,jak-ganra,jak,0,2
4720,jakyganra,jak-ganra,ganra,1,2
4721,ja'urgauma'a,ja'u-gau-ma'a,ja'u,0,3
4722,ja'urgauma'a,ja'u-gau-ma'a,gau,1,3
4723,ja'urgauma'a,ja'u-gau-ma'a,ma'a,2,3
4724,jalma'o,jal-ma'o,jal,0,2
4725,jalma'o,jal-ma'o,ma'o,1,2
4726,jamfagri,jam-fagri,jam,0,2
4727,jamfagri,jam-fagri,fagri,1,2
4728,jamji'a,jam-ji'a,jam,0,2
4729,jamji'a,jam-ji'a,ji'a,1,2
4730,jamymai,jam-mai,jam,0,2
4731,jamymai,jam-mai,mai,1,2
4732,jancnija'o,jan-cni-ja'o,jan,0,3
4733,jancnija'o,jan-cni-ja'o,cni,1,3
4734,jancnija'o,jan-cni-ja'o,ja'o,2,3
4735,jgagusmo'a,jga-gus-mo'a,jga,0,3
4736,jgagusmo'a,jga-gus-mo'a,gus,1,3
4737,jgagusmo'a,jga-gus-mo'a,mo'a,2,3
4738,jgarau,jga-rau,jga,0,2
4739,jgarau,jga-rau,rau,1,2
4740,jansma,jan-sma,jan,0,2
4741,jansma,jan-sma,sma,1,2
4742,jarmau,jar-mau,jar,0,2
4743,jarmau,jar-mau,mau,1,2
4744,jarpu'i,jar-pu'i,jar,0,2
4745,jarpu'i,jar-pu'i,pu'i,1,2
4746,jaryri'a,jar-ri'a,jar,0,2
4747,jaryri'a,jar-ri'a,ri'a,1,2
4748,jasydi'u,jas-di'u,jas,0,2
4749,jasydi'u,jas-di'u,di'u,1,2
4750,jasysnu,jas-snu,jas,0,2
4751,jasysnu,jas-snu,snu,1,2
4752,jaukra,jau-kra,jau,0,2
4753,jaukra,jau-kra,kra,1,2
4754,jaupli,jau-pli,jau,0,2
4755,jaupli,jau-pli,pli,1,2
4756,jaclu'a,jac-lu'a,jac,0,2
4757,jaclu'a,jac-lu'a,lu'a,1,2
4758,jaurbei,jau-bei,jau,0,2
4759,jaurbei,jau-bei,bei,1,2
4760,jaurbumru,jau-bumru,jau,0,2
4761,jaurbumru,jau-bumru,bumru,1,2
4762,jaurcarna,jau-carna,jau,0,2
4763,jaurcarna,jau-carna,carna,1,2
4764,jaurcau,jau-cau,jau,0,2
4765,jaurcau,jau-cau,cau,1,2
4766,jaurda'i,jau-da'i,jau,0,2
4767,jaurda'i,jau-da'i,da'i,1,2
4768,jaurdanmo,jau-danmo,jau,0,2
4769,jaurdanmo,jau-danmo,danmo,1,2
4770,jaurde'u,jau-de'u,jau,0,2
4771,jaurde'u,jau-de'u,de'u,1,2
4772,jaurdirgo,jau-dirgo,jau,0,2
4773,jaurdirgo,jau-dirgo,dirgo,1,2
4774,jaurde'uro'i,jau-de'u-ro'i,jau,0,3
4775,jaurde'uro'i,jau-de'u-ro'i,de'u,1,3
4776,jaurde'uro'i,jau-de'u-ro'i,ro'i,2,3
4777,jaurgackafke,jau-gac-kafke,jau,0,3
4778,jaurgackafke,jau-gac-kafke,gac,1,3
4779,jaurgackafke,jau-gac-kafke,kafke,2,3
4780,jaurgacpu'u,jau-gac-pu'u,jau,0,3
4781,jaurgacpu'u,jau-gac-pu'u,gac,1,3
4782,jaurgacpu'u,jau-gac-pu'u,pu'u,2,3
4783,jaurgairi'a,jau-gai-ri'a,jau,0,3
4784,jaurgairi'a,jau-gai-ri'a,gai,1,3
4785,jaurgairi'a,jau-gai-ri'a,ri'a,2,3
4786,jaurgapci,jau-gapci,jau,0,2
4787,jaurgapci,jau-gapci,gapci,1,2
4788,jaurselylu'i,jau-sel-lu'i,jau,0,3
4789,jaurselylu'i,jau-sel-lu'i,sel,1,3
4790,jaurselylu'i,jau-sel-lu'i,lu'i,2,3
4791,jaurva'u,jau-va'u,jau,0,2
4792,jaurva'u,jau-va'u,va'u,1,2
4793,jaurvacri,jau-vacri,jau,0,2
4794,jaurvacri,jau-vacri,vacri,1,2
4795,jaurvasmro,jau-vas-mro,jau,0,3
4796,jaurvasmro,jau-vas-mro,vas,1,3
4797,jaurvasmro,jau-vas-mro,mro,2,3
4798,jaurvaxmro,jau-vax-mro,jau,0,3
4799,jaurvaxmro,jau-vax-mro,vax,1,3
4800,jaurvaxmro,jau-vax-mro,mro,2,3
4801,jaurvi'u,jau-vi'u,jau,0,2
4802,jaurvi'u,jau-vi'u,vi'u,1,2
4803,jausfe,jau-sfe,jau,0,2
4804,jausfe,jau-sfe,sfe,1,2
4805,jausle,jau-sle,jau,0,2
4806,jausle,jau-sle,sle,1,2
4807,jausna,jau-sna,jau,0,2
4808,jausna,jau-sna,sna,1,2
4809,jausro,jau-sro,jau,0,2
4810,jausro,jau-sro,sro,1,2
4811,jbebe'a,jbe-be'a,jbe,0,2
4812,jbebe'a,jbe-be'a,be'a,1,2
4813,jbedei,jbe-dei,jbe,0,2
4814,jbedei,jbe-dei,dei,1,2
4815,jbedetsla,jbe-det-sla,jbe,0,3
4816,jbedetsla,jbe-det-sla,det,1,3
4817,jbedetsla,jbe-det-sla,sla,2,3
4818,jbegau,jbe-gau,jbe,0,2
4819,jbegau,jbe-gau,gau,1,2
4820,jbesla,jbe-sla,jbe,0,2
4821,jbesla,jbe-sla,sla,1,2
4822,jbetcaxa'u,jbe-tca-xa'u,jbe,0,3
4823,jbetcaxa'u,jbe-tca-xa'u,tca,1,3
4824,jbetcaxa'u,jbe-tca-xa'u,xa'u,2,3
4825,jbetru,jbe-tru,jbe,0,2
4826,jbetru,jbe-tru,tru,1,2
4827,jbexre,jbe-xre,jbe,0,2
4828,jbexre,jbe-xre,xre,1,2
4829,jbibi'o,jbi-bi'o,jbi,0,2
4830,jbibi'o,jbi-bi'o,bi'o,1,2
4831,jbidra,jbi-dra,jbi,0,2
4832,jbidra,jbi-dra,dra,1,2
4833,jbidu'i,jbi-du'i,jbi,0,2
4834,jbidu'i,jbi-du'i,du'i,1,2
4835,jbige'a,jbi-ge'a,jbi,0,2
4836,jbige'a,jbi-ge'a,ge'a,1,2
4837,jbijbu,jbi-jbu,jbi,0,2
4838,jbijbu,jbi-jbu,jbu,1,2
4839,jbikla,jbi-kla,jbi,0,2
4840,jbikla,jbi-kla,kla,1,2
4841,jbimau,jbi-mau,jbi,0,2
4842,jbimau,jbi-mau,mau,1,2
4843,jbimi'u,jbi-mi'u,jbi,0,2
4844,jbimi'u,jbi-mi'u,mi'u,1,2
4845,jbimlu,jbi-mlu,jbi,0,2
4846,jbimlu,jbi-mlu,mlu,1,2
4847,jbinalvokselba'u,jbi-nal-vok-sel-ba'u,jbi,0,5
4848,jbinalvokselba'u,jbi-nal-vok-sel-ba'u,nal,1,5
4849,jbinalvokselba'u,jbi-nal-vok-sel-ba'u,vok,2,5
4850,jbinalvokselba'u,jbi-nal-vok-sel-ba'u,sel,3,5
4851,jbinalvokselba'u,jbi-nal-vok-sel-ba'u,ba'u,4,5
4852,jbiplu,jbi-plu,jbi,0,2
4853,jbiplu,jbi-plu,plu,1,2
4854,jbirai,jbi-rai,jbi,0,2
4855,jbirai,jbi-rai,rai,1,2
4856,jbirau,jbi-rau,jbi,0,2
4857,jbirau,jbi-rau,rau,1,2
4858,jbire'a,jbi-re'a,jbi,0,2
4859,jbire'a,jbi-re'a,re'a,1,2
4860,jbitce,jbi-tce,jbi,0,2
4861,jbitce,jbi-tce,tce,1,2
4862,jbixa'u,jbi-xa'u,jbi,0,2
4863,jbixa'u,jbi-xa'u,xa'u,1,2
4864,jbizvaterjo'e,jbi-zva-ter-jo'e,jbi,0,4
4865,jbizvaterjo'e,jbi-zva-ter-jo'e,zva,1,4
4866,jbizvaterjo'e,jbi-zva-ter-jo'e,ter,2,4
4867,jbizvaterjo'e,jbi-zva-ter-jo'e,jo'e,3,4
4868,jbobancu,jbo-bancu,jbo,0,2
4869,jbobancu,jbo-bancu,bancu,1,2
4870,jbobatkymo'a,jbo-batk-mo'a,jbo,0,3
4871,jbobatkymo'a,jbo-batk-mo'a,batk,1,3
4872,jbobatkymo'a,jbo-batk-mo'a,mo'a,2,3
4873,jbobau,jbo-bau,jbo,0,2
4874,jbobau,jbo-bau,bau,1,2
4875,jbobaulanli,jbo-bau-lanli,jbo,0,3
4876,jbobaulanli,jbo-bau-lanli,bau,1,3
4877,jbobaulanli,jbo-bau-lanli,lanli,2,3
4878,jbobausku,jbo-bau-sku,jbo,0,3
4879,jbobausku,jbo-bau-sku,bau,1,3
4880,jbobausku,jbo-bau-sku,sku,2,3
4881,jbobauta'a,jbo-bau-ta'a,jbo,0,3
4882,jbobauta'a,jbo-bau-ta'a,bau,1,3
4883,jbobauta'a,jbo-bau-ta'a,ta'a,2,3
4884,jbobli,jbo-bli,jbo,0,2
4885,jbobli,jbo-bli,bli,1,2
4886,jboborjbedei,jbo-bor-jbe-dei,jbo,0,4
4887,jboborjbedei,jbo-bor-jbe-dei,bor,1,4
4888,jboborjbedei,jbo-bor-jbe-dei,jbe,2,4
4889,jboborjbedei,jbo-bor-jbe-dei,dei,3,4
4890,jboce'u,jbo-ce'u,jbo,0,2
4891,jboce'u,jbo-ce'u,ce'u,1,2
4892,jboci'a,jbo-ci'a,jbo,0,2
4893,jboci'a,jbo-ci'a,ci'a,1,2
4894,jbocifnu,jbo-cifnu,jbo,0,2
4895,jbocifnu,jbo-cifnu,cifnu,1,2
4896,jbocki,jbo-cki,jbo,0,2
4897,jbocki,jbo-cki,cki,1,2
4898,jbocku,jbo-cku,jbo,0,2
4899,jbocku,jbo-cku,cku,1,2
4900,jboba'u,jbo-ba'u,jbo,0,2
4901,jboba'u,jbo-ba'u,ba'u,1,2
4902,jbodra,jbo-dra,jbo,0,2
4903,jbodra,jbo-dra,dra,1,2
4904,jbodze,jbo-dze,jbo,0,2
4905,jbodze,jbo-dze,dze,1,2
4906,jbofi'e,jbo-fi'e,jbo,0,2
4907,jbofi'e,jbo-fi'e,fi'e,1,2
4908,jbofu'i,jbo-fu'i,jbo,0,2
4909,jbofu'i,jbo-fu'i,fu'i,1,2
4910,jboge'a,jbo-ge'a,jbo,0,2
4911,jboge'a,jbo-ge'a,ge'a,1,2
4912,jbogensku,jbo-gen-sku,jbo,0,3
4913,jbogensku,jbo-gen-sku,gen,1,3
4914,jbogensku,jbo-gen-sku,sku,2,3
4915,jbogri,jbo-gri,jbo,0,2
4916,jbogri,jbo-gri,gri,1,2
4917,jbogu'a,jbo-gu'a,jbo,0,2
4918,jbogu'a,jbo-gu'a,gu'a,1,2
4919,jbogu'e,jbo-gu'e,jbo,0,2
4920,jbogu'e,jbo-gu'e,gu'e,1,2
4921,jbojbe,jbo-jbe,jbo,0,2
4922,jbojbe,jbo-jbe,jbe,1,2
4923,jbojbo,jbo-jbo,jbo,0,2
4924,jbojbo,jbo-jbo,jbo,1,2
4925,jbojikca,jbo-jikca,jbo,0,2
4926,jbojikca,jbo-jikca,jikca,1,2
4927,jbojmi,jbo-jmi,jbo,0,2
4928,jbojmi,jbo-jmi,jmi,1,2
4929,jboju'a,jbo-ju'a,jbo,0,2
4930,jboju'a,jbo-ju'a,ju'a,1,2
4931,jbokai,jbo-kai,jbo,0,2
4932,jbokai,jbo-kai,kai,1,2
4933,jbokarni,jbo-karni,jbo,0,2
4934,jbokarni,jbo-karni,karni,1,2
4935,jbokemsamymriste,jbo-kem-sam-mri-ste,jbo,0,5
4936,jbokemsamymriste,jbo-kem-sam-mri-ste,kem,1,5
4937,jbokemsamymriste,jbo-kem-sam-mri-ste,sam,2,5
4938,jbokemsamymriste,jbo-kem-sam-mri-ste,mri,3,5
4939,jbokemsamymriste,jbo-kem-sam-mri-ste,ste,4,5
4940,jboklu,jbo-klu,jbo,0,2
4941,jboklu,jbo-klu,klu,1,2
4942,jbolanci,jbo-lanci,jbo,0,2
4943,jbolanci,jbo-lanci,lanci,1,2
4944,jbolanzu,jbo-lanzu,jbo,0,2
4945,jbolanzu,jbo-lanzu,lanzu,1,2
4946,jboli'e,jbo-li'e,jbo,0,2
4947,jboli'e,jbo-li'e,li'e,1,2
4948,jbomi'u,jbo-mi'u,jbo,0,2
4949,jbomi'u,jbo-mi'u,mi'u,1,2
4950,jbomidju,jbo-midju,jbo,0,2
4951,jbomidju,jbo-midju,midju,1,2
4952,jbomipri,jbo-mipri,jbo,0,2
4953,jbomipri,jbo-mipri,mipri,1,2
4954,jbomri,jbo-mri,jbo,0,2
4955,jbomri,jbo-mri,mri,1,2
4956,jbomriselste,jbo-mri-sel-ste,jbo,0,4
4957,jbomriselste,jbo-mri-sel-ste,mri,1,4
4958,jbomriselste,jbo-mri-sel-ste,sel,2,4
4959,jbomriselste,jbo-mri-sel-ste,ste,3,4
4960,jbomriste,jbo-mri-ste,jbo,0,3
4961,jbomriste,jbo-mri-ste,mri,1,3
4962,jbomriste,jbo-mri-ste,ste,2,3
4963,jbonai,jbo-nai,jbo,0,2
4964,jbonai,jbo-nai,nai,1,2
4965,jbonartcidu,jbo-nar-tcidu,jbo,0,3
4966,jbonartcidu,jbo-nar-tcidu,nar,1,3
4967,jbonartcidu,jbo-nar-tcidu,tcidu,2,3
4968,jbonulsalcipra,jbo-nul-sal-cipra,jbo,0,4
4969,jbonulsalcipra,jbo-nul-sal-cipra,nul,1,4
4970,jbonulsalcipra,jbo-nul-sal-cipra,sal,2,4
4971,jbonulsalcipra,jbo-nul-sal-cipra,cipra,3,4
4972,jbonunpei,jbo-nun-pei,jbo,0,3
4973,jbonunpei,jbo-nun-pei,nun,1,3
4974,jbonunpei,jbo-nun-pei,pei,2,3
4975,jbonunsku,jbo-nun-sku,jbo,0,3
4976,jbonunsku,jbo-nun-sku,nun,1,3
4977,jbonunsku,jbo-nun-sku,sku,2,3
4978,jbonunsla,jbo-nun-sla,jbo,0,3
4979,jbonunsla,jbo-nun-sla,nun,1,3
4980,jbonunsla,jbo-nun-sla,sla,2,3
4981,jbopei,jbo-pei,jbo,0,2
4982,jbopei,jbo-pei,pei,1,2
4983,jbopemci,jbo-pemci,jbo,0,2
4984,jbopemci,jbo-pemci,pemci,1,2
4985,jbopemyzba,jbo-pem-zba,jbo,0,3
4986,jbopemyzba,jbo-pem-zba,pem,1,3
4987,jbopemyzba,jbo-pem-zba,zba,2,3
4988,jbopli,jbo-pli,jbo,0,2
4989,jbopli,jbo-pli,pli,1,2
4990,jbopre,jbo-pre,jbo,0,2
4991,jbopre,jbo-pre,pre,1,2
4992,jbora'a,jbo-ra'a,jbo,0,2
4993,jbora'a,jbo-ra'a,ra'a,1,2
4994,jboranmi,jbo-ranmi,jbo,0,2
4995,jboranmi,jbo-ranmi,ranmi,1,2
4996,jbori'a,jbo-ri'a,jbo,0,2
4997,jbori'a,jbo-ri'a,ri'a,1,2
4998,jborirni,jbo-rirni,jbo,0,2
4999,jborirni,jbo-rirni,rirni,1,2
5000,jboro'a,jbo-ro'a,jbo,0,2
5001,jboro'a,jbo-ro'a,ro'a,1,2
5002,jboru'u,jbo-ru'u,jbo,0,2
5003,jboru'u,jbo-ru'u,ru'u,1,2
5004,jbosa'a,jbo-sa'a,jbo,0,2
5005,jbosa'a,jbo-sa'a,sa'a,1,2
5006,jboselci'a,jbo-sel-ci'a,jbo,0,3
5007,jboselci'a,jbo-sel-ci'a,sel,1,3
5008,jboselci'a,jbo-sel-ci'a,ci'a,2,3
5009,jboselba'u,jbo-sel-ba'u,jbo,0,3
5010,jboselba'u,jbo-sel-ba'u,sel,1,3
5011,jboselba'u,jbo-sel-ba'u,ba'u,2,3
5012,jboselka'e,jbo-sel-ka'e,jbo,0,3
5013,jboselka'e,jbo-sel-ka'e,sel,1,3
5014,jboselka'e,jbo-sel-ka'e,ka'e,2,3
5015,jboselmri,jbo-sel-mri,jbo,0,3
5016,jboselmri,jbo-sel-mri,sel,1,3
5017,jboselmri,jbo-sel-mri,mri,2,3
5018,jboselsku,jbo-sel-sku,jbo,0,3
5019,jboselsku,jbo-sel-sku,sel,1,3
5020,jboselsku,jbo-sel-sku,sku,2,3
5021,jboselta'a,jbo-sel-ta'a,jbo,0,3
5022,jboselta'a,jbo-sel-ta'a,sel,1,3
5023,jboselta'a,jbo-sel-ta'a,ta'a,2,3
5024,jbosisku,jbo-sisku,jbo,0,2
5025,jbosisku,jbo-sisku,sisku,1,2
5026,jbosku,jbo-sku,jbo,0,2
5027,jbosku,jbo-sku,sku,1,2
5028,jboskufu'i,jbo-sku-fu'i,jbo,0,3
5029,jboskufu'i,jbo-sku-fu'i,sku,1,3
5030,jboskufu'i,jbo-sku-fu'i,fu'i,2,3
5031,jbosla,jbo-sla,jbo,0,2
5032,jbosla,jbo-sla,sla,1,2
5033,jboslapre,jbo-sla-pre,jbo,0,3
5034,jboslapre,jbo-sla-pre,sla,1,3
5035,jboslapre,jbo-sla-pre,pre,2,3
5036,jbosmi,jbo-smi,jbo,0,2
5037,jbosmi,jbo-smi,smi,1,2
5038,jbosmu,jbo-smu,jbo,0,2
5039,jbosmu,jbo-smu,smu,1,2
5040,jbosni,jbo-sni,jbo,0,2
5041,jbosni,jbo-sni,sni,1,2
5042,jbosnu,jbo-snu,jbo,0,2
5043,jbosnu,jbo-snu,snu,1,2
5044,jboste,jbo-ste,jbo,0,2
5045,jboste,jbo-ste,ste,1,2
5046,jbosteselmri,jbo-ste-sel-mri,jbo,0,4
5047,jbosteselmri,jbo-ste-sel-mri,ste,1,4
5048,jbosteselmri,jbo-ste-sel-mri,sel,2,4
5049,jbosteselmri,jbo-ste-sel-mri,mri,3,4
5050,jbota'a,jbo-ta'a,jbo,0,2
5051,jbota'a,jbo-ta'a,ta'a,1,2
5052,jbotavlicysnada,jbo-tav-lic-snada,jbo,0,4
5053,jbotavlicysnada,jbo-tav-lic-snada,tav,1,4
5054,jbotavlicysnada,jbo-tav-lic-snada,lic,2,4
5055,jbotavlicysnada,jbo-tav-lic-snada,snada,3,4
5056,jbotadni,jbo-tadni,jbo,0,2
5057,jbotadni,jbo-tadni,tadni,1,2
5058,jbotcidu,jbo-tcidu,jbo,0,2
5059,jbotcidu,jbo-tcidu,tcidu,1,2
5060,jbotermri,jbo-ter-mri,jbo,0,3
5061,jbotermri,jbo-ter-mri,ter,1,3
5062,jbotermri,jbo-ter-mri,mri,2,3
5063,jbove'a,jbo-ve'a,jbo,0,2
5064,jbove'a,jbo-ve'a,ve'a,1,2
5065,jbovla,jbo-vla,jbo,0,2
5066,jbovla,jbo-vla,vla,1,2
5067,jbovlacku,jbo-vla-cku,jbo,0,3
5068,jbovlacku,jbo-vla-cku,vla,1,3
5069,jbovlacku,jbo-vla-cku,cku,2,3
5070,jbovlaste,jbo-vla-ste,jbo,0,3
5071,jbovlaste,jbo-vla-ste,vla,1,3
5072,jbovlaste,jbo-vla-ste,ste,2,3
5073,jboxelmri,jbo-xel-mri,jbo,0,3
5074,jboxelmri,jbo-xel-mri,xel,1,3
5075,jboxelmri,jbo-xel-mri,mri,2,3
5076,jbozgi,jbo-zgi,jbo,0,2
5077,jbozgi,jbo-zgi,zgi,1,2
5078,jbozi'e,jbo-zi'e,jbo,0,2
5079,jbozi'e,jbo-zi'e,zi'e,1,2
5080,jbozi'u,jbo-zi'u,jbo,0,2
5081,jbozi'u,jbo-zi'u,zi'u,1,2
5082,jbuboikei,jbu-boi-kei,jbu,0,3
5083,jbuboikei,jbu-boi-kei,boi,1,3
5084,jbuboikei,jbu-boi-kei,kei,2,3
5085,jbusfe,jbu-sfe,jbu,0,2
5086,jbusfe,jbu-sfe,sfe,1,2
5087,jbustu,jbu-stu,jbu,0,2
5088,jbustu,jbu-stu,stu,1,2
5089,jbutse,jbu-tse,jbu,0,2
5090,jbutse,jbu-tse,tse,1,2
5091,jdabe'e,jda-be'e,jda,0,2
5092,jdabe'e,jda-be'e,be'e,1,2
5093,jdaca'i,jda-ca'i,jda,0,2
5094,jdaca'i,jda-ca'i,ca'i,1,2
5095,jdace'u,jda-ce'u,jda,0,2
5096,jdace'u,jda-ce'u,ce'u,1,2
5097,jdacku,jda-cku,jda,0,2
5098,jdacku,jda-cku,cku,1,2
5099,jdacpe,jda-cpe,jda,0,2
5100,jdacpe,jda-cpe,cpe,1,2
5101,jdacu'a,jda-cu'a,jda,0,2
5102,jdacu'a,jda-cu'a,cu'a,1,2
5103,jdacuvgau,jda-cuv-gau,jda,0,3
5104,jdacuvgau,jda-cuv-gau,cuv,1,3
5105,jdacuvgau,jda-cuv-gau,gau,2,3
5106,jdacuvri'a,jda-cuv-ri'a,jda,0,3
5107,jdacuvri'a,jda-cuv-ri'a,cuv,1,3
5108,jdacuvri'a,jda-cuv-ri'a,ri'a,2,3
5109,jdadapma,jda-dapma,jda,0,2
5110,jdadapma,jda-dapma,dapma,1,2
5111,jdagri,jda-gri,jda,0,2
5112,jdagri,jda-gri,gri,1,2
5113,jdaja'a,jda-ja'a,jda,0,2
5114,jdaja'a,jda-ja'a,ja'a,1,2
5115,jdajinru,jda-jinru,jda,0,2
5116,jdajinru,jda-jinru,jinru,1,2
5117,jdaka'i,jda-ka'i,jda,0,2
5118,jdaka'i,jda-ka'i,ka'i,1,2
5119,jdakagni,jda-kagni,jda,0,2
5120,jdakagni,jda-kagni,kagni,1,2
5121,jdakemxanmu'u,jda-kem-xan-mu'u,jda,0,4
5122,jdakemxanmu'u,jda-kem-xan-mu'u,kem,1,4
5123,jdakemxanmu'u,jda-kem-xan-mu'u,xan,2,4
5124,jdakemxanmu'u,jda-kem-xan-mu'u,mu'u,3,4
5125,jdakra,jda-kra,jda,0,2
5126,jdakra,jda-kra,kra,1,2
5127,jdali'e,jda-li'e,jda,0,2
5128,jdali'e,jda-li'e,li'e,1,2
5129,jdami'u,jda-mi'u,jda,0,2
5130,jdami'u,jda-mi'u,mi'u,1,2
5131,jdapi'o,jda-pi'o,jda,0,2
5132,jdapi'o,jda-pi'o,pi'o,1,2
5133,jdara'u,jda-ra'u,jda,0,2
5134,jdara'u,jda-ra'u,ra'u,1,2
5135,jdaralju,jda-ralju,jda,0,2
5136,jdaralju,jda-ralju,ralju,1,2
5137,jdasa'a,jda-sa'a,jda,0,2
5138,jdasa'a,jda-sa'a,sa'a,1,2
5139,jdaselcku,jda-sel-cku,jda,0,3
5140,jdaselcku,jda-sel-cku,sel,1,3
5141,jdaselcku,jda-sel-cku,cku,2,3
5142,jdaselsa'a,jda-sel-sa'a,jda,0,3
5143,jdaselsa'a,jda-sel-sa'a,sel,1,3
5144,jdaselsa'a,jda-sel-sa'a,sa'a,2,3
5145,jdaselsku,jda-sel-sku,jda,0,3
5146,jdaselsku,jda-sel-sku,sel,1,3
5147,jdaselsku,jda-sel-sku,sku,2,3
5148,jdasi'a,jda-si'a,jda,0,2
5149,jdasi'a,jda-si'a,si'a,1,2
5150,jdaske,jda-ske,jda,0,2
5151,jdaske,jda-ske,ske,1,2
5152,jdasku,jda-sku,jda,0,2
5153,jdasku,jda-sku,sku,1,2
5154,jdavelsku,jda-vel-sku,jda,0,3
5155,jdavelsku,jda-vel-sku,vel,1,3
5156,jdavelsku,jda-vel-sku,sku,2,3
5157,jdaxanmu'u,jda-xan-mu'u,jda,0,3
5158,jdaxanmu'u,jda-xan-mu'u,xan,1,3
5159,jdaxanmu'u,jda-xan-mu'u,mu'u,2,3
5160,jdaxanmuvgau,jda-xan-muv-gau,jda,0,4
5161,jdaxanmuvgau,jda-xan-muv-gau,xan,1,4
5162,jdaxanmuvgau,jda-xan-muv-gau,muv,2,4
5163,jdaxanmuvgau,jda-xan-muv-gau,gau,3,4
5164,jdazei,jda-zei,jda,0,2
5165,jdazei,jda-zei,zei,1,2
5166,jdecisma,jde-cisma,jde,0,2
5167,jdecisma,jde-cisma,cisma,1,2
5168,jdegau,jde-gau,jde,0,2
5169,jdegau,jde-gau,gau,1,2
5170,jdegautoi,jde-gau-toi,jde,0,3
5171,jdegautoi,jde-gau-toi,gau,1,3
5172,jdegautoi,jde-gau-toi,toi,2,3
5173,jdeku'i,jde-ku'i,jde,0,2
5174,jdeku'i,jde-ku'i,ku'i,1,2
5175,jdeselsku,jde-sel-sku,jde,0,3
5176,jdeselsku,jde-sel-sku,sel,1,3
5177,jdeselsku,jde-sel-sku,sku,2,3
5178,jdesku,jde-sku,jde,0,2
5179,jdesku,jde-sku,sku,1,2
5180,jdezu'e,jde-zu'e,jde,0,2
5181,jdezu'e,jde-zu'e,zu'e,1,2
5182,jdezuktoi,jde-zuk-toi,jde,0,3
5183,jdezuktoi,jde-zuk-toi,zuk,1,3
5184,jdezuktoi,jde-zuk-toi,toi,2,3
5185,jdigu'a,jdi-gu'a,jdi,0,2
5186,jdigu'a,jdi-gu'a,gu'a,1,2
5187,jdikygau,jdik-gau,jdik,0,2
5188,jdikygau,jdik-gau,gau,1,2
5189,jdikyri'a,jdik-ri'a,jdik,0,2
5190,jdikyri'a,jdik-ri'a,ri'a,1,2
5191,jditadji,jdi-tadji,jdi,0,2
5192,jditadji,jdi-tadji,tadji,1,2
5193,jditra,jdi-tra,jdi,0,2
5194,jditra,jdi-tra,tra,1,2
5195,jdixla,jdi-xla,jdi,0,2
5196,jdixla,jdi-xla,xla,1,2
5197,jduboi,jdu-boi,jdu,0,2
5198,jduboi,jdu-boi,boi,1,2
5199,jduda'u,jdu-da'u,jdu,0,2
5200,jduda'u,jdu-da'u,da'u,1,2
5201,jdufi'e,jdu-fi'e,jdu,0,2
5202,jdufi'e,jdu-fi'e,fi'e,1,2
5203,jdukubli,jdu-kubli,jdu,0,2
5204,jdukubli,jdu-kubli,kubli,1,2
5205,je'ertu'u,je'e-tu'u,je'e,0,2
5206,je'ertu'u,je'e-tu'u,tu'u,1,2
5207,jesycro,jes-cro,jes,0,2
5208,jesycro,jes-cro,cro,1,2
5209,jesyspa,jes-spa,jes,0,2
5210,jesyspa,jes-spa,spa,1,2
5211,jecpau,jec-pau,jec,0,2
5212,jecpau,jec-pau,pau,1,2
5213,jecyxaizei,jec-xai-zei,jec,0,3
5214,jecyxaizei,jec-xai-zei,xai,1,3
5215,jecyxaizei,jec-xai-zei,zei,2,3
5216,jecpre,jec-pre,jec,0,2
5217,jecpre,jec-pre,pre,1,2
5218,jectru,jec-tru,jec,0,2
5219,jectru,jec-tru,tru,1,2
5220,jectrukamni,jec-tru-kamni,jec,0,3
5221,jectrukamni,jec-tru-kamni,tru,1,3
5222,jectrukamni,jec-tru-kamni,kamni,2,3
5223,jecybilni,jec-bilni,jec,0,2
5224,jecybilni,jec-bilni,bilni,1,2
5225,jecydinsro,jec-din-sro,jec,0,3
5226,jecydinsro,jec-din-sro,din,1,3
5227,jecydinsro,jec-din-sro,sro,2,3
5228,jecyga'ibai,jec-ga'i-bai,jec,0,3
5229,jecyga'ibai,jec-ga'i-bai,ga'i,1,3
5230,jecyga'ibai,jec-ga'i-bai,bai,2,3
5231,jecyga'ibaigau,jec-ga'i-bai-gau,jec,0,4
5232,jecyga'ibaigau,jec-ga'i-bai-gau,ga'i,1,4
5233,jecyga'ibaigau,jec-ga'i-bai-gau,bai,2,4
