fenra,3.5.5,(crack),x1 is a crack/fissure/pass/cleft/ravine/chasm/[defect/flaw] [shape/form] in x2.
foldi,3.5.5,(field),x1 is a field [shape/form] of material x2; x1 is a broad uniform expanse of x2.
senta,3.5.5,(layer ‘stratum’),x1 is a layer/stratum [shape/form] of x2 [material] within structure/continuum/composite x3.
snuji,3.5.5,(sandwich),x1 is a sandwich/layering [not restricted to food] of x2 sandwiched between x3.
panlo,3.5.5,(slice),x1 is a slice [thin flat portion] of x2 (mass).
papri,3.5.5,(page ‘paper’),x1 is a [physical] page/leaf of book/document/bound mass of pages x2.
bakfu,3.5.5,(bundle ‘pack’),"x1 is a bundle/package/cluster/clump/pack [shape/form] containing x2, held together by x3."
skuro,3.5.5,(groove ‘furrow’),x1 is a groove/trench/furrow [shape/form] in object/surface x2.
bidju,3.5.5,(bead),x1 is a bead/pebble [shape/form] of material x2.
genxu,3.5.5,(hook),x1 is a hook/crook [shape/form] of material x2.
grana,3.5.5,(rod),x1 is a rod/pole/staff/stick/cane [shape/form] of material x2.
jesni,3.5.5,(needle),"x1 is a needle [pointed shape/form, not tool] of material x2."
calku,3.5.5,(shell),"x1 is a shell/husk [hard, protective covering] around x2 composed of x3."
pilka,3.5.5,(crust ‘peel’),x1 is a crust/rind/peel/skin/hide/outer cover of x2.
dasri,3.5.5,(ribbon),x1 is a ribbon/tape/strip/band/stripe of material x2.
culno,3.5.5,(full),x1 is full/completely filled with x2.
kunti,3.5.5,(empty ‘vacant’),x1 [container] is empty/vacant of x2 [material]; x1 is hollow.
tagji,3.5.5,(snug ‘tight’),x1 is snug/tight on x2 in dimension/direction x3 at locus x4.
kluza,3.5.5,(loose ‘blouse’),x1 (obj.) is loose/bloused/not tight on x2 (obj.) at locus x3.
trati,3.5.5,(taut),x1 is taut/tense/strained tight in direction x2.
korcu,3.5.5,"(bent ‘crooked, corkscrew’)",(adjective:) x1 is bent/crooked/not straight or direct/[twisted]/folded.
bargu,3.5.5,(arch),x1 arches/curves over/around x2 and is made of x3; x1 is an arch over/around x2 of material x3.
cabna,4,(now),x1 is current at/in the present of/during/concurrent/simultaneous with x2 in time.
balvi,4,(future ‘later’),x1 is in the future of/later than/after x2 in time sequence; x1 is latter; x2 is former.
purci,4,(past ‘earlier’),x1 is in the past of/earlier than/before x2 in time sequence; x1 is former; x2 is latter.
temci,4,(time),x1 is the time-duration/interval/period/[elapsed time] from time/event x2 to time/event x3.
citno,4,(young ‘junior’),x1 is young/youthful [relatively short in elapsed duration] by standard x2.
clira,4,(early),x1 (event) is early by standard x2.
lerci,4,(late),x1 (event) is late by standard x2.
djedi,4.1,(full day),x1 is x2 full days in duration (default is 1 day) by standard x3; (adjective:) x1 is diurnal.
cerni,4.1,(morning),x1 is a morning [dawn until after typical start-of-work for locale] of day x2 at location x3.
donri,4.1,(daytime),x1 is the daytime of day x2 at location x3; (adjective:) x1 is diurnal (vs. nocturnal).
nicte,4.1,(night),x1 is a nighttime of day x2 at location x3; (adjective:) x1 is at night/nocturnal.
vanci,4.1,(evening),x1 is an evening [from end-of-work until sleep typical for locale] of day x2 at location x3.
murse,4.1,(glimmering),x1 is the [astronomical] twilight/dawn/dusk/half-light/glimmering of day x2 at location x3.
detri,4.2,(date),"x1 is the date [day,{week},{month},year] of event/state x2, at location x3, by calendar x4."
jeftu,4.2,(week),x1 is x2 weeks in duration (default is 1 week) by standard x3.
masti,4.2,(month),x1 is x2 months in duration (default is 1 month) by month standard x3.
nanca,4.2,(year),x1 is x2 years in duration (default is 1 year) by standard x3; (adjective:) x1 is annual.
cedra,4.2,(era),x1 is an era/epoch/age characterized by x2 (event/property/interval/idea).
citsi,4.2,(season),"x1 is a season/is seasonal [cyclical interval], defined by interval/property x2, of year(s) x3."
dunra,4.2,(winter),x1 is winter/wintertime [cold season] of year x2 at location x3.
vensa,4.2,(spring ‘vernal’),x1 is spring/springtime [warming season] of year x2 at location x3; (adjective:) x1 is vernal.
crisa,4.2,(summer),x1 is summer/summertime [hot season] of year x2 at location x3.
critu,4.2,(autumn),x1 is autumn/fall [harvest/cooling season] of year x2 at location x3.
junla,4.3,(clock),x1 is clock/watch/timer measuring time units x2 to precision x3 with timing mechanism/method x4.
tcika,4.3,(time of day),"x1 [hours, minutes, seconds] is the time/hour of state/event x2 on day x3 at location x4."
cacra,4.3,(hour),x1 is x2 hours in duration (default is 1 hour) by standard x3.
mentu,4.3,(minute),x1 is x2 minutes in duration (default is 1 minute) by standard x3.
snidu,4.3,(second),x1 is x2 seconds in duration (default is 1 second) by standard x3.
pruce,5,(process),"x1 is a process with inputs x2, outputs/results x3, passing through steps/stages x4."
fasnu,5,(event ‘happen’),x1 (event) is an event that happens/occurs/takes place; x1 is an incident/happening/occurrence.
tcini,5,(situation ‘state’),x1 [state/property] is a situation/condition/state/position/are conditions/circumstances of x2.
tarti,5,(behave),x1 behaves/conducts oneself as/in-manner x2 (event/property) under conditions x3.
lifri,5,(experience ‘life’),x1 [person/passive/state] undergoes/experiences x2 (event/experience); x2 happens to x1.
bapli,5,(force ‘compel’),x1 [force] (ka) forces/compels event x2 to occur; x1 determines property x2 to manifest.
cfari,5,(initiate),x1 [state/event/process] commences/initiates/starts/begins to occur; (intransitive verb).
ranji,5,(continue),x1 (event/state) continues/persists over interval x2; x1 (property - ka) is continuous over x2.
fanmo,5,(end ‘final’),x1 is an end/finish/termination of thing/process x2; [not necessarily implying completeness].
rapli,5,(repeat),x1 [action] repeats/is repeated for a total of x2 (quantity) occurrences.
kansa,5,(with ‘accompany’),"x1 is with/accompanies/is a companion of x2, in state/condition/enterprise x3 (event/state)."
cumki,5,(possible ‘maybe’),x1 (event/state/property) is possible under conditions x2; x1 may/might occur; x1 is a maybe.
lakne,5,(probable ‘likely’),x1 (event/state/property) is probable/likely under conditions x2.
fanta,5,(prevent),x1 prevents/keeps/stops/restrains/constrains event x2 from occurring.
binxo,5,(become),x1 becomes/changes/converts/transforms into x2 under conditions x3.
canci,5,(vanish),x1 vanishes/disappears from location x2; x1 ceases to be observed at x2 using senses/sensor x3.
farvi,5,(develop ‘evolve’),x1 develops/evolves towards/into x2 from x3 through stages x4.
cafne,5,(often),x1 (event) often/frequently/commonly/customarily occurs/recurs by standard x2.
dikni,5,(regular ‘cyclical’),x1 is regular/cyclical/periodic in property (ka)/activity x2 with period/interval x3.
vitci,5,(irregular ‘intermittent’),x1 is irregular/occasional/intermittent in property/action/aspect x2.
dimna,5,(fate ‘doom’),"x1 is a fate/destiny of x2; [doom, curse are mabla-forms]; x2 is fated/predestined/doomed to x1."
xaksu,5,(use up),x1 (event) uses up/depletes/consumes/[wastes] x2 [resource].
festi,5,(waste),x1(s) is/are waste product(s) [left to waste] by x2 (event/activity).
krefu,5,(recur),x1 (event) is the x3'rd recurrence/repetition of x2 (abstract); x2 happens again in [form] x1.
rarna,5,(natural),"x1 is natural/spontaneous/instinctive, not [consciously] caused by person(s)."
renvi,5,(survive),x1 survives/endures/undergoes/abides/lasts/persists through x2 for interval/duration x3.
rilti,5,(rhythm),x1 (sequence/non-text quote) is a rhythm/beat of music/expressive form x2.
stika,5,(adjust),x1 (event) adjusts/regulates/changes x2 (ka/ni) in amount/degree x3.
suksa,5,(sudden),x1 (event/state) is sudden/sharply changes at stage/point x2 in process/property/function x3.
vitno,5,(permanent ‘eternal’),x1 is permanent/lasting/[eternal] in property x2 (ka) by standard x3 [time-span/expectant one].
gasnu,5.1,(do),x1 [person/agent] is an agentive cause of event x2; x1 does/brings about x2.
jalge,5.1,(result),x1 (action/event/state) is a result/outcome/conclusion of antecedent x2 (event/state/process).
krinu,5.1,(reason),x1 (event/state) is a reason/justification/explanation for/causing/permitting x2 (event/state).
mukti,5.1,(motive),"x1 (action/event/state) motivates/is a motive/incentive for action/event x2, per volition of x3."
nibli,5.1,(necessitate),x1 logically necessitates/entails/implies action/event/state x2 under rules/logic system x3.
rinka,5.1,(cause),x1 (event/state) effects/physically causes effect x2 (event/state) under conditions x3.
zukte,5.1,(act),x1 is a volitional entity employing means/taking action x2 for purpose/goal x3/to end x3.
krasi,5.1,(source ‘origin’),x1 (site/event) is a source/start/beginning/origin of x2 (object/event/process).
sarcu,5.1,(necessary),x1 (abstract) is necessary/required for continuing state/process x2 under conditions x3.
nitcu,5.1,(need),x1 needs/requires/is dependent on/[wants] necessity x2 for purpose/action/stage of process x3.
jitro,5.2,(control),x1 has control over/harnesses/manages/directs/conducts x2 in x3 (activity/event/performance).
gidva,5.2,(guide),x1 (person/object/event) guides/conducts/pilots/leads x2 (active participants) in/at x3 (event).
xlura,5.2,(influence ‘lure’),x1 (agent) influences/lures/tempts x2 into action/state x3 by influence/threat/lure x4.
bredi,5.2,(ready),x1 is ready/prepared for x2 (event).
denpa,5.2,(wait ‘pause’),x1 awaits/waits/pauses for/until x2 at state x3 before starting/continuing x4 (activity/process).
sisti,5.2,(cease),x1 [agent] ceases/stops/halts/ends activity/process/state x2 [not necessarily completing it].
dicra,5.2,"(interrupt ‘disturb, disrupt’)",x1 (event) interrupts/stops/halts/[disrupts] x2 (object/event/process) due to quality x3.
zunti,5.2,(interfere ‘hinder’),x1 (evt./state) interferes with/hinders/disrupts x2 (evt./state/process) due to quality x3 (ka).
fliba,5.2,(fail ‘baffle’),x1 fails at doing x2 (state/event); x1 is a failure at its role in x2.
frili,5.2,(easy ‘freely’),x1 (action) is easy/simple/facile for x2 (agent) under conditions x3; x2 does x1 freely/easily.
nandu,5.2,(difficult ‘hard’),x1 is difficult/hard/challenging for x2 under conditions x3; x1 challenges (non-agentive) x2.
vlipa,5.2,(powerful),x1 has the power to bring about x2 under conditions x3; x1 is powerful in aspect x2 under x3.
kakne,5.2,(able ‘can’),x1 is able to do/be/capable of doing/being x2 (event/state) under conditions x3 (event/state).
sutra,5.2,(fast ‘swift’),x1 is fast/swift/quick/hastes/rapid at doing/being/bringing about x2 (event/state).
masno,5.2,(slow),x1 is slow/sluggish at doing/being/bringing about x2 (event/state).
platu,5.2,(plan ‘plot’),x1 (agent) plans/designs/plots plan/arrangement/plot/[schematic] x2 for state/process x3.
prali,5.2,(profit),x1 is a profit/gain/benefit/advantage to x2 accruing/resulting from activity/process x3.
randa,5.2,(yield ‘surrender’),x1 yields/gives way/surrenders to x2 (force/agent) under conditions x3.
snada,5.2,(succeed ‘accomplish’),x1 [agent] succeeds in/achieves/completes/accomplishes x2 as a result of effort/attempt/try x3.
snuti,5.2,(accidental),x1 (event/state) is an accident/unintentional on the part of x2; x1 is an accident.
srera,5.2,(err),"x1 errs in doing/being/making mistake x2 (event), an error under conditions x3 by standard x4."
troci,5.2,(try),x1 tries/attempts/makes an effort to do/attain x2 (event/state/property) by actions/method x3.
cuntu,5.3,(affair),x1 is an affair/organized activity involving person(s) x2 (ind./mass); x1 is x2's business.
lacri,5.3,(rely),x1 relies/depends/counts on/trusts x2 to bring about/ensure/maintain x3 (event/state).
selfu,5.3,(serve),x1 (agent) serves x2 with service x3 (activity); x1 is a servant (noun) of x2 performing x3.
pleji,5.3,(pay),x1 pays/compensates/remunerates/[rewards] payment x2 to recipient/payee x3 for goods/services x4.
sidju,5.3,(help ‘aid’),x1 helps/assists/aids object/person x2 do/achieve/maintain event/activity x3.
jatna,5.3.1,(captain),x1 is captain/commander/leader/in-charge/boss of vehicle/domain x2.
minde,5.3.1,(command),x1 issues commands/orders to x2 for result x3 (event/state) to happen; x3 is commanded to occur.
tinbe,5.3.1,(obey),x1 obeys/follows the command/rule x2 made by x3; (adjective:) x1 is obedient.
curmi,5.3.1,(let ‘permit’),x1 (agent) lets/permits/allows x2 (event) under conditions x3; x1 grants privilege x2.
fuzme,5.3.1,(responsible),x1 is responsible/accountable for x2 (action/resulting state) to judge/authority x3.
sfasa,5.3.1,"(punish ‘spank, castigate’)",x1 (agent) punishes x2 for infraction x3 (event/state/action) with punishment x4 (event/state).
fapro,5.3.2,(oppose),x1 opposes/balances/contends against opponent(s) x2 (person/force ind./mass) about x3 (abstract).
damba,5.3.2,(fight ‘combat’),x1 fights/combats/struggles with x2 over issue x3 (abstract); x1 is a fighter/combatant.
jinga,5.3.2,(win ‘gain’),x1 (person/team) wins/gains prize x2 from/over x3 [competitors/losers] in competition x4.
nutli,5.3.2,(neutral),x1 is neutral/not taking sides/medial/not towards any extreme on scale/in dissension x2.
panpi,5.3.2,(peace),x1 is at peace with x2.
jivna,5.3.2,(compete ‘rival’),x1 competes/vies with opponent x2 in contest/competition x3 (event) for gain x4; x1 rivals x2.
bradi,5.3.2,(enemy ‘adversary’),x1 is an enemy/opponent/adversary/foe of x2 in struggle x3.
venfu,5.3.2,(revenge ‘avenge’),x1 takes revenge on/retaliates against x2 (person) for wrong x3 (nu) with vengeance x4 (nu).
farna,6,(direction),x1 is the direction of x2 (object/event) from origin/in frame of reference x3.
penmi,6,(meet),x1 meets/encounters x2 at/in location x3.
klama,6.1.1,(come),x1 comes/goes to destination x2 from origin x3 via route x4 using means/vehicle x5.
litru,6.1.1,(travel),x1 travels/journeys/goes/moves via route x2 using means/vehicle x3; x1 is a traveller.
cliva,6.1.1,(leave),x1 leaves/goes away/departs/parts/separates from x2 via route x3.
xruti,6.1.1,(return),x1 (agent) returns  to x2 [origin/earlier state]  from x3 ;  x1 moves/gives  back to x2   from x3
pluta,6.1.1,(route),x1 is a route/path/way/course/track to x2 from x3 via/defined by points including x4 (set).
stali,6.1.1,(remain ‘stay’),x1 remains/stays at/abides/lasts with x2.
bajra,6.1.2,(run),x1 runs on surface x2 using limbs x3 with gait x4.
cadzu,6.1.2,(walk),x1 walks/strides/paces on surface x2 using limbs x3.
cpare,6.1.2,(climb),x1 climbs/clambers/creeps/crawls on surface x2 in direction x3 using x4 [limbs/tools].
stapa,6.1.2,(step),x1 steps/treads on/in surface x2 using limbs x3.
plipe,6.1.2,(leap),x1 (agent/object) leaps/jumps/springs/bounds to x2 from x3 reaching height x4 propelled by x5.
vofli,6.1.2,(flight ‘fly’),x1 flies [in air/atmosphere] using lifting/propulsion means x2.
limna,6.1.2,(swim),x1 (agent) swims in fluid x2.
sfubu,6.1.2,(dive ‘swoop’),x1 dives/swoops [manner of controlled falling] to x2 from x3.
carna,6.1.2,(turn),"x1 turns about vector x2 towards direction x3, turning angular distance / to face point x4"
jersi,6.1.2,(chase ‘pursue’),x1 chases/pursues/(physically) follows after x2; volition is not implied for x1 or x2.
rivbi,6.1.2,(avoid ‘evade’),x1 avoids/evades/shuns/escapes/skirts [fate] x2 (event) through action/state x3 (event).
pagre,6.1.2,(pass through),x1 passes through/penetrates barrier/medium/portal x2 to destination side x3 from origin side x4.
sakli,6.1.2,(slide ‘slip’),x1 slides/slips/glides on x2.
spoja,6.1.2,(explode),x1 bursts/explodes/violently breaks up/decomposes/combusts into pieces/energy/fragments x2.
porpi,6.1.2,(break),x1 breaks/fractures/shatters/[splits/splinters/cracks] into pieces x2.
preja,6.1.2,(spread),x1 spreads/expands over/into x2 from initial state x3.
bikla,6.1.2,"(whip ‘beat, lash’)",x1 whips/lashes/snaps [a sudden violent motion].
gunro,6.1.2,(roll ‘trundle’),x1 rolls/trundles on/against surface x2 rotating on axis/axle x3; x1 is a roller.
zvati,6.1.3,(at),x1 (object/event) is at/attending/present at x2 (event/location).
lanxe,6.1.3,(balance),x1 is in balance/equilibrium under forces x2 (mass).
cando,6.1.3,(idle),x1 is idle/at rest/inactive.
vreta,6.1.3,(reclining ‘rest’),x1 lies/rests/reclines/reposes on x2; x1 is reclining/recumbent/lying on x2.
sarji,6.1.3,(support),x1 supports/holds up/is underpinning of/[helps] x2 against force/opposition x3 with/by means x4.
fulta,6.1.3,(float),x1 (passive) floats on/in fluid (gas/liquid) x2; x1 is buoyant.
dandu,6.1.3,"(hang ‘dangle, suspend’)",x1 hangs/dangles/is suspended from x2 by/at/with joint x3.
jinru,6.1.3,(immerse),x1 (object/person) is immersed/submerged/bathes in liquid x2.
zutse,6.1.3,(sit),x1 sits [assumes sitting position] on surface x2.
sanli,6.1.3,(stand),x1 stands [is vertically oriented] on surface x2 supported by limbs/support/pedestal x3.
farlu,6.1.4,(fall),x1 falls/drops to x2 from x3 in gravity well/frame of reference x4.
torni,6.1.4,(twist ‘torsion’),x1 twists under load/force/torsion x2.
slilu,6.1.4,(oscillate),x1 oscillates at rate/frequency x2 through set/sequence-of-states x3 (complete specification).
flecu,6.1.4,(flow ‘flush’),x1 is a current/flow/river of/in x2 flowing in direction to/towards x3 from direction/source x4.
jetce,6.1.4,(jet),x1 is a jet [expelled stream] of material x2 expelled from x3.
galfi,6.2,(modify ‘alter’),x1 (event) modifies/alters/changes/transforms/converts x2 into x3.
sisku,6.2,(seek),x1 seeks/searches/looks for property x2 among set x3 (complete specification of set).
jmaji,6.2,(gather),x1 (mass/jo'u) gathers/collects at location x2 from locations x3 (mass/jo'u).
sabji,6.2,(provide ‘supply’),x1 [source] provides/supplies/furnishes x2 [supply/commodity] to x3 [recipient].
fatri,6.2,(distribute),x1 is distributed/allotted/allocated/shared among x2 with shares/portions x3; (x2/x3 fa'u).
fendi,6.2,(divide),x1 (agent) divides/partitions/separates x2 into sections/parts/ind. x3 by method/partition x4.
simxu,6.2.1,(mutual),x1 (set) has members who mutually/reciprocally x2 (event [x1 should be reflexive in 1+ sumti]).
muvdu,6.2.1,(move),x1 (object) moves to destination/receiver x2 [away] from origin x3 over path/route x4.
ralte,6.2.1,(retain),x1 retains/keeps/holds x2 in its possession.
jgari,6.2.1,(grasp ‘grip’),x1 grasps/holds/clutches/seizes/grips/[hugs] x2 with x3 (part of x1) at locus x4 (part of x2).
bevri,6.2.1,(carry ‘bear’),x1 carries/hauls/bears/transports cargo x2 to x3 from x4 over path x5; x1 is a carrier/[porter].
renro,6.2.1,(throw),x1 throws/launches/casts/hurls x2 to/at/in direction x3 (propulsion derives internally to x1).
cecla,6.2.1,(launcher),"x1 launches/fires/shoots projectile/missile x2, propelled by x3 [propellant/propulsion]."
punji,6.2.1,(put),x1 (agent) puts/places/sets x2 on/at surface/locus x3.
lafti,6.2.1,(lift),x1 (force) lifts/applies raising/supporting force to x2 at locus x3 in gravity well x4.
setca,6.2.1,(insert),x1 (agent) inserts/interposes/puts/deposits x2 into interior x3/into among/between members of x3.
catke,6.2.1,(shove),x1 [agent] shoves/pushes x2 at locus x3.
rinju,6.2.1,(restrain),x1 is restrained/held [back]/constrained/kept by restraint x2 against x3 (event).
danre,6.2.1,(pressure),x1 (force) puts pressure on/presses/applies force to x2.
desku,6.2.1,(shake),x1 shakes/quakes/trembles/quivers/shudders/wobbles/vibrates from force x2.
janli,6.2.1,(collide),x1 collides with/crashes/bumps/runs into x2.
tunlo,6.2.1,(swallow),x1 gulps/swallows.
daspo,6.2.1,(destroy ‘despoil’),x1 (event) destroys/ruins/wrecks/despoils x2; x1 is destructive.
kavbu,6.2.1,(capture ‘catch’),x1 captures/catches/apprehends/seizes/nabs x2 with trap/restraint x3.
lacpu,6.2.1,(pull),x1 pulls/tugs/draws/drags x2 by handle/at locus x3.
cinba,6.2.2,(kiss ‘buss’),x1 (agent) kisses/busses x2 at locus x3.
pencu,6.2.2,(touch),x1 (agent) touches x2 with x3 [a locus on x1 or an instrument] at x4 [a locus on x2].
darxi,6.2.2,(hit),x1 hits/strikes/[beats] x2 with instrument [or body-part] x3 at locus x4.
batci,6.2.2,(bite),x1 bites/pinches x2 on/at specific locus x3 with x4.
sraku,6.2.2,(scratch),x1 [abrasive/cutting/scratching object/implement] scratches/[carves]/erodes/cuts [into] x2.
guska,6.2.2,(scrape),x1 blade/scraper/erosive scrapes/erodes/abrades x2 from x3.
polje,6.2.2,(fold),x1 (force) folds/creases x2 at locus/loci/forming crease(s)/bend(s) x3.
prina,6.2.2,(print),x1 is a print/impression/image on/in surface x2 of/made by/using tool/press/implement/object x3.
barna,6.2.2,(mark),x1(s) is a/are mark(s)/spot(s) on x2 of material x3.
spali,6.2.2,(polish),"x1 (agent) polishes object/surface x2 with polish x3, applied using tool x4."
mosra,6.2.2,(friction ‘rub’),x1 is friction [force opposing motion] due to contact/rubbing between x2 and x3; (fe) x2 rubs x3.
tikpa,6.2.2,(kick),"x1 kicks [hits with x1's foot/feet x4] x2 in/at locus x3, using x1's foot/feet x4."
satre,6.2.3,(stroke),x1 (agent) strokes/rubs/pets x2 with x3.
zalvi,6.2.3,(grind ‘pulverize’),x1 [individual or mass of hard surfaces] grinds/pulverizes/crushes x2 into powder x3.
katna,6.2.3,(cut),x1 (tool/blade/force) cuts [through]/splits/divides x2 (object) into pieces x3.
kakpa,6.2.3,(dig),x1 (agent) digs x2 [material] up/out of x3 [source/hole] with limbs/tool(s) x4.
plixa,6.2.3,(plow),x1 (agent) plows/furrows/tills [cuts into and turns up] x2 with tool x3 propelled by x4.
marxa,6.2.3,(mash),x1 [force] mashes/crushes/squashes/smashes x2 into pulp/mash/crumbs/deformed mass x3.
tisna,6.2.3,(fill ‘stuff’),x1 (object) fills/becomes stuffed [up]/inflates/blows up with material x2; x2 pours into x1.
sputu,6.2.4,(spit),x1 spits/expectorates x2 [predominantly liquid] from x3 to/onto x4.
jicla,6.2.4,(stir),"x1 (object, or event: force) stirs/mixes/[roils/agitates] fluid (gas/liquid) x2."
cokcu,6.2.4,(soak up),x1 soaks up/absorbs/sucks up x2 from x3 into x4; x1 is an absorbant.
rinci,6.2.4,(drain),x1 liquid/fluid drains/strains/flushes from source x2 through drain/strainer x3 by force x4.
sakci,6.2.4,(suck),x1 sucks/is suction/vacuum/relatively low pressure of fluid/gas x2 relative to high pressure x3.
dacti,7.1,(object ‘thing’),x1 is a material object enduring in space-time; x1 is a thing.
spisa,7.1,(piece),x1 [object/substance] is a piece/portion/lump/chunk/particle of x2 [substance].
ckini,7.1,"(related ‘akin, kin’)",x1 is related to/associated with/akin to x2 by relationship x3.
tcila,7.1,(detail),x1 is a detail/feature/particular of x2.
ckaji,7.1,(quality),x1 has/is characterized by property/feature/trait/aspect/dimension x2 (ka); x2 is manifest in x1.
jinzi,7.1,(innate),x1 (property - ka) is an innate/inherent/intrinsic/natural property/quality/aspect of x2.
panra,7.1,(parallel),x1 parallels x2 differing only in property x3 (ka; jo'u/fa'u term) by standard/geometry x4.
ratni,7.2,(atom),x1 is an atom of element/atomic number x2 of isotope number/atomic weight x3.
kantu,7.2,(quantum),x1 is a quantum/ray/elementary particle/smallest measurable increment of property/activity x2.
selci,7.2,(cell),"x1 is a cell/atom/unit/molecule of x2; x1 is an indivisible, most basic subunit of x2."
nejni,7.2,(energy),x1 is energy of type x2 in form x3.
dirce,7.2,(radiate),x1 radiates/emits x2 under conditions x3.
boxna,7.2,(wave),"x1 is a wave [periodic pattern] in medium x2, wave-form x3, wave-length x4, frequency x5."
maksi,7.2,(magnet),x1 is magnetic [adjective] producing magnetic field x2.
dikca,7.2,(electric ‘charge’),x1 is electricity [electric charge or current] in/on x2 of polarity/quantity x3 (def. negative).
jdari,7.3,(firm ‘hard’),x1 is firm/hard/resistant/unyielding to force x2 under conditions x3.
tsali,7.3,(strong),x1 is strong/powerful/[tough] in property/quality x2 (ka) by standard x3.
ruble,7.3,(weak ‘feeble’),x1 is weak/feeble/frail in property/quality/aspect x2 (ka) by standard x3.
tinsa,7.3,(stiff),x1 is stiff/rigid/inflexible/resistant in direction x2 against force x3 under conditions x4.
ranti,7.3,(soft),x1 is soft/malleable/moldable/yielding to force x2 in conditions x3.
ralci,7.3,(delicate ‘fragile’),x1 is delicate/fragile/subtle/refined in property x2 (ka).
pruni,7.3,(elastic ‘springy’),(adjective:) x1 is elastic/springy.
junta,7.3,(weight),x1 is the weight of object x2 in [gravitational or other force] field x3.
linto,7.3,(lightweight),x1 is light in mass/weight by standard x2.
tilju,7.3,(heavy ‘weighty’),x1 is heavy/weighty in mass/weight by standard x2.
glare,7.3,(hot ‘warm’),x1 is hot/[warm] by standard x2.
lenku,7.3,(cold ‘cool’),x1 is cold/cool by standard x2.
cilmo,7.3,(moist),x1 is moist/wet/damp with liquid x2.
sudga,7.3,(dry),x1 is dry of liquid x2; (adjective:) x1 is arid.
denmi,7.3,(dense),x1 is dense/concentrated/packed/intense in property x2 (ka) at location/locus x3.
viknu,7.3,(viscous ‘thick’),x1 is thick/viscous under conditions x2.
snipa,7.3,(sticky),x1 adheres/sticks to x2; (adjective:) x1 is sticky/gummy/adhesive.
kinli,7.3,(sharp ‘keen’),x1 is sharp/keen at locus x2.
klina,7.3,(clear),x1 (object/medium) is clear/transparent/without obstacle to in-the-clear x2 [transmission].
minra,7.3,(reflect ‘mirror’),x1 reflects/mirrors/echoes x2 [object/radiation] to observer/point x3 as x4; x2 bounces on x1.
tengu,7.3,(texture),x1 (property-ka) is a texture of x2.
xutla,7.3,(smooth),x1 is smooth/even/[soft/silky] in texture/regularity.
rufsu,7.3,(rough),x1 is rough/coarse/uneven/[grainy/scabrous/rugged] in texture/regularity.
merli,7.4,(measure),"x1 (agent) measures/evaluates x2 [quantity] as x3 units on scale x4 (si'o), with accuracy x5."
ckilu,7.4,(scale),x1 (si'o) is a scale of units for measuring/observing/determining x2 (state).
gradu,7.4,"(unit ‘degree, grad’)",x1 [magnitude] is a unit/degree of/on scale/reference standard x2 (si'o) measuring property x3.
klani,7.4,(quantity),x1 is a quantity quantified/measured/enumerated by x2 (quantifier) on scale x3 (si'o).
parbi,7.4,(ratio ‘rate’),"x1 (me'o, fraction) is a ratio/rate of x2 (quantity) with respect to x3 (quantity), [x2:x3]."
satci,7.4,(exact ‘precise’),x1 [measurement/match] is exact/precise to precision x2 in property/quantity x3 (ka/ni).
mitre,7.4.1,(meter),x1 is x2 meter(s) [metric unit] in length (default 1) measured in direction x3 by standard x4.
radno,7.4.1,(radian),
stero,7.4.1,(steradian),
litce,7.4.1,(liter),x1 is x2 liter(s) [metric unit] in volume (default is 1) by standard x3.
grake,7.4.1,(gram),x1 is x2 gram(s) [metric unit] in mass (default is 1) by standard x3.
molro,7.4.1,(mole),
kelvo,7.4.1,(kelvin),
xampo,7.4.1,(ampere),
delno,7.4.1,(candela ‘candle-power’),
gutci,7.4.2,(cubit ‘foot’),"x1 is x2 (default 1) short local distance unit(s) [non-metric], standard x3, x4 subunits."
minli,7.4.2,(mile),"x1 is x2 (default 1) long local distance unit(s) [non-metric], x3 subunits, standard x4."
kramu,7.4.2,(acre),"x1 is x2 local area unit(s) [non-metric] (default 1) by standard x3, x4 subunits."
bunda,7.4.2,(pound),"x1 is x2 (def. 1) local weight unit(s) [non-metric], standard x3, subunits [e.g. ounces] x4."
dekpu,7.4.2,(gallon ‘peck’),"x1 is x2 (default 1) local volume unit(s) [non-metric; e.g. bushel], standard x3, x4 subunits."
dekto,7.4.3,(10 metric ‘deka’),
xecto,7.4.3,(100 metric ‘hecto’),
kilto,7.4.3,(1000 metric ‘kilo’),
megdo,7.4.3,(1E6 metric ‘mega’),
gigdo,7.4.3,(1E9 metric ‘giga’),
terto,7.4.3,(1E12 metric ‘tera’),
petso,7.4.3,(1E15 metric ‘peta’),
xexso,7.4.3,(1E18 metric ‘exa’),
zetro,7.4.3,(1E21 ‘zetta’),
gotro,7.4.3,(1E24 ‘yotta’),
decti,7.4.3,(.1 metric ‘deci’),
centi,7.4.3,(.01 metric ‘centi’),
milti,7.4.3,(.001 metric ‘milli’),
mikri,7.4.3,(1E-6 metric ‘micro’),
nanvi,7.4.3,(1E-9 metric ‘nano’),
picti,7.4.3,(1E-12 metric ‘pico’),
femti,7.4.3,(1E-15 metric ‘femto’),
xatsi,7.4.3,(1E-18 metric ‘atto’),
zepti,7.4.3,(1E-21 ‘zepto’),
gocti,7.4.3,(1E-24 ‘yocto’),
marji,7.5,(material ‘matter’),x1 is material/stuff/matter of type/composition including x2 in shape/form x3.
